gene	conMean	treatMean	logFC	pValue	fdr
MYL5	3.71068126394754	1.99737130140399	-0.893581535757378	1.47952914403731e-43	4.36879429447486e-43
AC007878.1	0.47051091789657	0.204579278209384	-1.20156817791589	1.50459006096934e-32	3.00140863054102e-32
AL391001.1	1.47658848941435	0.649295185439623	-1.18532140044837	2.49379050674751e-26	4.30073282354156e-26
AC018645.3	3.17406572825243	4.24214294416308	0.418461231375941	3.37271609025188e-16	4.77131285170818e-16
HTATIP2	6.75987784024726	13.6977025025754	1.01886485166985	1.86809427069489e-42	5.21737396905222e-42
PTPN6	7.42788951637896	8.77364865450895	0.240224577457802	8.03621795603278e-08	9.70519472193256e-08
MEFV	0.189072374588759	0.234065249104397	0.307972172016017	0.797165877188015	0.799940599086257
RPP30	5.26670954984557	3.18931530230151	-0.723655167031911	3.09303511848302e-50	1.64146579829476e-49
FBXO21	5.49137803898462	6.38613190782731	0.217774119478312	0.00144784223174581	0.00158837922785827
EBLN3P	11.4907881024825	6.466331089945	-0.829458465936769	2.06311823759065e-45	6.79843215008416e-45
CSF3	0.487759853822968	0.43132230956617	-0.177404679282632	4.27137067136194e-05	4.8607709052153e-05
LINP1	0.022414735907812	1.32228500056146	5.88244185190338	2.68035515950444e-45	8.76844969792175e-45
TMBIM6	57.7904635175708	76.8883350465918	0.411933297994895	3.88075443277248e-21	6.03106540766987e-21
AP003419.2	0.286693448952507	0.275935597569183	-0.0551773526873114	0.0393486037745892	0.0414890316108827
RPS6KL1	3.34672006681691	1.09830367974585	-1.60747087015536	1.36458246499255e-42	3.83255193138481e-42
THUMPD3-AS1	9.42720901367398	1.81314957932911	-2.37833276694932	2.78165654935416e-52	2.36964831972741e-51
AC097639.1	2.4711650366716	1.64594425517617	-0.586275888817186	9.9297140012447e-29	1.80475329330028e-28
NECAB2	0.784413898507672	1.39275845648434	0.828258072685823	0.743059007125485	0.746597035973471
TRDMT1	1.05640997521312	0.427145362811292	-1.3063708040608	6.22836747378942e-50	3.15414535915785e-49
ZNF141	2.45471700279785	0.997864341209446	-1.29864110913254	6.59850349296102e-49	2.91982935588542e-48
NQO2	8.1636269397007	2.062507573989	-1.98481083853077	7.65959226692675e-52	5.62795911138971e-51
TRMT1	9.40953496594143	7.17167167864779	-0.391813981759373	2.45365295975849e-18	3.60777404161314e-18
UBE2FP3	0.665225565227695	0.492992676595769	-0.432277398248928	1.98100439185028e-06	2.32253731008554e-06
